modality,node_count,total_count,relation_count,transition_count,density_score,transition_score,centrality_score,rarity_score,stability_score,confidence,fusion_weight,centroid_x,centroid_y,centroid_z,spread
word,89,224.0,267,0,5.877735781779639,0.0,6.0,0.8849403756456135,0.5000335016413683,2.6447010425215747,0.3412497573026629,0.013993775344722518,0.003474591309804208,0.0007922118031426328,0.999866002412805
music,8,5628.0,24,42,3.4965075614664802,3.7612001156935624,6.0,0.8548398405991913,0.0,2.6630220588433375,0.3436137456222571,0.0,0.0,0.0,0.0
video,8,619.0,24,10,3.4965075614664802,2.3978952727983707,6.0,0.6314374166042834,0.23245883167991294,2.442322095519795,0.31513649707507996,1.6819709136512294e-08,1.6410985486720857e-08,6.852827133036738e-08,3.3018369866753967
